No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;time 1;time 2;delay ;;delay 1 ;delay 2;jitter
4489; 17.204.285 ;192.168.18.11;182.253.220.205;TLSv1.3;118;Change Cipher Spec, Application Data;;;;;;;;;;; 17.204.285 ; 17.204.628 ; 645 ;; 302 ; 343 ; 41 
4490; 17.204.628 ;182.253.220.205;192.168.18.11;TLSv1.3;1466;Server Hello, Change Cipher Spec;;;;;;;;;;; 17.204.628 ; 17.204.933 ; 343 ;; 38 ; 305 ; 267 
4491; 17.204.933 ;182.253.220.205;192.168.18.11;TCP;1466;443  >  56683 [ACK] Seq=1413 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU];;;;;;;;;;; 17.204.933 ; 17.204.950 ; 305 ;; 288 ; 17 ;-271 
4492; 17.204.950 ;192.168.18.11;182.253.220.205;TCP;54;56683  >  443 [ACK] Seq=518 Ack=2825 Win=131072 Len=0;;;;;;;;;;; 17.204.950 ; 17.206.287 ; 17 ;;-1.320 ; 1.337 ; 2.657 
4493; 17.206.287 ;182.253.220.205;192.168.18.11;TLSv1.3;535;Application Data;;;;;;;;;;; 17.206.287 ; 17.207.036 ; 1.337 ;; 588 ; 749 ; 161 
4495; 17.207.036 ;192.168.18.11;182.253.220.205;TLSv1.3;118;Change Cipher Spec, Application Data;;;;;;;;;;; 17.207.036 ; 17.291.567 ; 749 ;;-83.782 ; 84.531 ; 168.313 
4695; 17.291.567 ;182.253.220.205;192.168.18.11;TCP;60;443  >  56684 [ACK] Seq=3306 Ack=582 Win=66816 Len=0;;;;;;;;;;; 17.291.567 ; 17.294.039 ; 84.531 ;; 82.059 ; 2.472 ;-79.587 
4701; 17.294.039 ;182.253.220.205;192.168.18.11;TCP;60;443  >  56683 [ACK] Seq=3306 Ack=582 Win=66816 Len=0;;;;;;;;;;; 17.294.039 ; 23.968.731 ; 2.472 ;;-6.672.220 ; 6.674.692 ; 13.346.912 
11002; 23.968.731 ;192.168.18.11;23.15.248.154;TCP;54;56679  >  443 [FIN, ACK] Seq=1 Ack=1 Win=507 Len=0;;;;;;;;;;; 23.968.731 ; 23.998.818 ; 6.674.692 ;; 6.644.605 ; 30.087 ;-6.614.518 
11003; 23.998.818 ;23.15.248.154;192.168.18.11;TLSv1.2;85;Encrypted Alert;;;;;;;;;;; 23.998.818 ; 23.998.902 ; 30.087 ;; 30.003 ; 84 ;-29.919 
11004; 23.998.902 ;192.168.18.11;23.15.248.154;TCP;54;56679  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0;;;;;;;;;;; 23.998.902 ; 23.999.589 ; 84 ;;-603 ; 687 ; 1.290 
11005; 23.999.589 ;23.15.248.154;192.168.18.11;TCP;54;443  >  56679 [FIN, ACK] Seq=32 Ack=2 Win=245 Len=0;;;;;;;;;;; 23.999.589 ; 38.032.944 ; 687 ;;-14.032.668 ; 14.033.355 ; 28.066.023 
12879; 38.032.944 ;192.168.18.11;52.109.112.35;TCP;54;56681  >  443 [FIN, ACK] Seq=1 Ack=1 Win=507 Len=0;;;;;;;;;;; 38.032.944 ; 38.155.641 ; 14.033.355 ;; 13.910.658 ; 122.697 ;-13.787.961 
12880; 38.155.641 ;52.109.112.35;192.168.18.11;TCP;54;443  >  56681 [FIN, ACK] Seq=1 Ack=2 Win=2048 Len=0;;;;;;;;;;; 38.155.641 ; 38.155.725 ; 122.697 ;;;;
12881; 38.155.725 ;192.168.18.11;52.109.112.35;TCP;54;56681  >  443 [ACK] Seq=2 Ack=2 Win=507 Len=0;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;total delay ; 22.128.841 ;;;total jitter ; 22.251.448 
;;;;;;;;;;;;;;;;;;rata-rata; 1.725 ;;;ratarata jitter; 1.811 
